Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country,URL
ABCB,Ameris Bancorp,State commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABCB
ABCL,ABCELLERA BIOLG,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,CANADA,https://finviz.com/quote.ashx?t=ABCL
ABCP,AmBase,Nonresidential building operators,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED STATES,https://finviz.com/quote.ashx?t=ABCP
ABEO,Abeona Therapeutics,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABEO
ABEV,Ambev,Beverages,Consumer Staples,BEVERAGES-ALCOH,BEVERAGES,Y,BRAZIL,https://finviz.com/quote.ashx?t=ABEV
ABG,Asbury Automotive Group,Automotive dealers & gasoline service stations,Retail/Wholesale,RET/WHLSL AUTO/TRUCK,NONFOOD RETAIL/WH,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABG
ABILF,Ability,"Communications equipment, not elsewhere classified",Computer and Technology,IT Services,COMPUTER SOFT/SERV,N,ISRAEL,https://finviz.com/quote.ashx?t=ABILF
ABL,"Abacus Life, Inc.",Investment advice,Finance,INS-LIFE,INSURANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABL
ABLT,American Biltrite,"Plastics products, not elsewhere classified",Construction,BLDG&CONST-MISC,BUILDING PRODS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ABLT
ABLV,Able View Global Inc.,Nonstore retailers,Business Services,BUSINESS SVCS,BUSINESS SERVICES,N,CHINA,https://finviz.com/quote.ashx?t=ABLV
ABM,ABM Industries,Services to dwellings & other buildings,Business Services,BUSINESS SVCS,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABM
ABMT,Advanced Biomedical Technologies,Surgical appliances & supplies,Medical,MED INSTRUMENTS,MED PRODS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ABMT
ABNB,Airbnb,Services to dwellings & other buildings,Consumer Discretionary,LEISURE&REC SVS,LEISURE SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABNB
ABOS,Acumen Pharmaceuticals,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABOS
ABP,Abpro Holdings Inc.,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ABP
ABR,Arbor Realty Trust,Real estate investment trusts,Finance,REIT-MTGE TRUST,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABR
ABSI,ABSCI CORP,Commercial physical research,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABSI
ABT,Abbott Laboratories,Pharmaceutical preparations,Medical,MED PRODUCTS,MED PRODS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABT
ABTC,American Bitcoin Corp.,Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABTC
ACGP,Associated Capital Group,Security brokers & dealers,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED STATES,https://finviz.com/quote.ashx?t=ACGP
AD,Array Digital Infrastructure Inc.,Radiotelephone communication,Computer and Technology,Wireless National,TELECOMM SVCS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AD
ADAM,"Adamas Trust, Inc.",Real estate investment trusts,Finance,REIT-MTGE TRUST,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ADAM
ZSPC,"zSpace, Inc",Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES,https://finviz.com/quote.ashx?t=ZSPC
ZSTN,ZST Digital Networks,Radio & t.v. communications equipment,Computer and Technology,Communications Components,TELECOMM EQUIP,N,CHINA,https://finviz.com/quote.ashx?t=ZSTN
ZTCOF,ZTE CORPORATION,,,,,,,https://finviz.com/quote.ashx?t=ZTCOF
ZTEK,Zentek,Miscellaneous chemical products,Business Services,Technology Services,BUSINESS SERVICES,N,CANADA,https://finviz.com/quote.ashx?t=ZTEK
ZTNO,Zoom Technologies,Telephone & telegraph apparatus,Computer and Technology,COMP-PERIPH EQP,COMPUTER/OFFICE EQUIP,N,UNITED STATES,https://finviz.com/quote.ashx?t=ZTNO
ZTO,ZTO Express Cayman,"Trucking & courier services, except air",Transportation,TRANS-SERVICES,TRANSPORTATION,Y,CHINA,https://finviz.com/quote.ashx?t=ZTO
ZTS,Zoetis,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZTS
ZUMZ,Zumiez,Apparel & accessory stores,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZUMZ
ZURA,Zura Bio Limited,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZURA
ZURVY,Zurich Insurance Group,Nondepository credit institutions,Finance,INS-MULTI LINE,INSURANCE,N,SWITZERLAND,https://finviz.com/quote.ashx?t=ZURVY
ZVIA,Zevia,Bottled & canned soft drinks,Consumer Staples,BEVERAGES-SOFT,BEVERAGES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZVIA
ZVLO,Zvelo,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,UNITED STATES,https://finviz.com/quote.ashx?t=ZVLO
ZVOI,Zovio,Educational services,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=ZVOI
ZVRA,"Zevra Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZVRA
ZWS,Zurn Elkay Water Solutions Cor,General industrial machinery & equipment,Business Services,Waste Removal Svcs,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZWS
ZYBT,Zhengye Biotechnology Holding Limited,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,CHINA,https://finviz.com/quote.ashx?t=ZYBT
ZYME,Zymeworks,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZYME
ZYXI,Zynex,Electromedical equipment,Medical,MED PRODUCTS,MED PRODS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ZYXI
AGRZ,AGROZ INC,,,,,,,https://finviz.com/quote.ashx?t=AGRZ
AHGIF,Alternate Health,,Medical,MEDICAL INFO SYS,MEDICAL CARE,N,,https://finviz.com/quote.ashx?t=AHGIF
AHH,Armada Hoffler Properties,Real estate,Finance,REIT-EQTY TRUST - RESID,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AHH
AHII,AMERICAN HERITG,,,,,,,https://finviz.com/quote.ashx?t=AHII
AHIX,COREwafer Industries,"Games, toys, & childrens' vehicles",Computer and Technology,ELEC TEST EQUIPTMENT,ELECTRONICS,N,UNITED STATES,https://finviz.com/quote.ashx?t=AHIX
AHKSY,Asahi Kasei,Chemicals & allied products,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,N,JAPAN,https://finviz.com/quote.ashx?t=AHKSY
AHL,Aspen Insurance Holdings Limited,"Fire, marine, & casualty insurance",Finance,INS-MULTI LINE,INSURANCE,N,BERMUDA,https://finviz.com/quote.ashx?t=AHL
AHR,"American Healthcare REIT, Inc.",Real estate investment trusts,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AHR
AHRO,"Authentic Holdings, Inc.",,,,,,,https://finviz.com/quote.ashx?t=AHRO
AHT,Ashford Hospitality Trust,Real estate investment trusts,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,N,UNITED STATES,https://finviz.com/quote.ashx?t=AHT
AI,C3.ai,Prepackaged software,Computer and Technology,IT Services,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AI
AIAD,"AiAdvertising, Inc.",Miscellaneous retail,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIAD
AICAF,AIR CHINA LTD,,,,,,,https://finviz.com/quote.ashx?t=AICAF
AIDA,AIDA PHARMACEUT,,,,,,,https://finviz.com/quote.ashx?t=AIDA
AIFF,"Firefly Neuroscience, Inc.",Prepackaged software,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIFF
AIFU,AIFU Inc. - Sponsored ADR,"Insurance agents, brokers, & service",Finance,INS-MULTI LINE,INSURANCE,Y,CHINA,https://finviz.com/quote.ashx?t=AIFU
AIG,American International Group,"Fire, marine, & casualty insurance",Finance,INS-MULTI LINE,INSURANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIG
AIGI,Artistmss International Group,Management consulting services,Consumer Staples,COSMETICS&TLTRS,SOAPS/COSMETICS,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIGI
AIHS,Senmiao Technology,"Automotive rental & leasing, without drivers",Computer and Technology,INTERNET SERVICES,COMPUTER SOFT/SERV,N,CHINA,https://finviz.com/quote.ashx?t=AIHS
AII,"American Integrity Insurance Group, Inc.","Fire, marine, & casualty insurance",Finance,INS-PROP&CASLTY,INSURANCE,N,UNITED STATES,https://finviz.com/quote.ashx?t=AII
AIIO,Robo.ai Inc. - Class B,Motor vehicles & car bodies,Business Services,Technology Services,BUSINESS SERVICES,N,,https://finviz.com/quote.ashx?t=AIIO
AIJTY,Jianpu Technology,"Computer programming, data processing, & other computer related",Business Services,Technology Services,BUSINESS SERVICES,N,CHINA,https://finviz.com/quote.ashx?t=AIJTY
AIKO,ALTERNATIVE INV,,,,,,,https://finviz.com/quote.ashx?t=AIKO
AIM,AIM ImmunoTech,"Biological products, except diagnostic",Medical,MED-DRUGS,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIM
AIMD,Ainos,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIMD
AIN,Albany International,"Broadwoven fabric mills, manmade",Industrial Products,TEXTILE-PRDUCTS,IND PRODS/SVC,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIN
AINMF,NetraMark Holdings Inc.,Holding & other investment offices,Medical,MEDICAL INFO SYS,MEDICAL CARE,N,CANADA,https://finviz.com/quote.ashx?t=AINMF
AIOT,PowerFleet,"Communications equipment, not elsewhere classified",Transportation,TRANS-SERVICES,TRANSPORTATION,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIOT
AIP,Arteris,Semiconductors & related devices,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIP
AIPUY,AIRPORTS OF THL,,,,,,,https://finviz.com/quote.ashx?t=AIPUY
AIQUY,Air Liquide,Private households,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,N,FRANCE,https://finviz.com/quote.ashx?t=AIQUY
AIR,AAR,Aircraft & parts,Aerospace,AEROSP/DEF EQ,AEROSPACE/DEFENSE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIR
AIRE,reAlpha Tech Corp.,Real estate,Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIRE
AIRG,Airgain,Radio & t.v. communications equipment,Computer and Technology,Communications Components,TELECOMM EQUIP,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIRG
AIRI,Air Industries Group,"Aircraft parts & equipment, not elsewhere classified",Aerospace,AEROSP/DEFENSE,AEROSPACE/DEFENSE,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIRI
AIRJ,AirJoule Technologies Corporation,Refrigeration & heating equipment,Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIRJ
AIRO,"AIRO Group Holdings, Inc.",Aircraft,Aerospace,AEROSP/DEFENSE,AEROSPACE/DEFENSE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIRO
AIRS,AirSculpt Technologies,Offices & clinics of medical doctors,Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIRS
AIRT,Air T,Air courier services,Transportation,TRANS-AIR FRGHT,TRANSPORT-AIR,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIRT
AIRYY,Air China,Private households,Transportation,TRANS-AIRLINE,TRANSPORT-AIR,N,CHINA,https://finviz.com/quote.ashx?t=AIRYY
AISP,"Airship AI Holdings, Inc.",Prepackaged software,Business Services,Technology Services,BUSINESS SERVICES,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AISP
AIT,Applied Industrial Technologies,"Machinery, equipment, & supplies",Industrial Products,MACH-GENL INDL,MACHINERY,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIT
AIV,Apartment Investment and Management,Real estate investment trusts,Finance,REIT-EQTY TRUST - RESID,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIV
AIVN,American International Ventures,Gold & silver ores,Basic Materials,MINING -GOLD,METALS-NON FERR,N,UNITED STATES,https://finviz.com/quote.ashx?t=AIVN
AIXI,XIAO-I Corporation Unsponsored ADR,Prepackaged software,Business Services,Technology Services,BUSINESS SERVICES,N,CHINA,https://finviz.com/quote.ashx?t=AIXI
AIZ,Assurant,"Insurance carriers, not elsewhere classified",Finance,INS-MULTI LINE,INSURANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AIZ
AJG,Arthur J. Gallagher & Co.,"Insurance agents, brokers, & service",Finance,INS-BROKERS,INSURANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AJG
AJINY,Ajinomoto,Private households,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,N,JAPAN,https://finviz.com/quote.ashx?t=AJINY
AJMPF,Ashmore Group,"Insurance agents, brokers, & service",Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED KINGDOM,https://finviz.com/quote.ashx?t=AJMPF
AKA,a.k.a. Brands Holding Corp.,Catalog & mail-order houses,Retail/Wholesale,RETAIL-APP/SHOE,NONFOOD RETAIL/WH,N,UNITED STATES,https://finviz.com/quote.ashx?t=AKA
AKAM,Akamai Technologies,"Business services, not elsewhere classified",Computer and Technology,INTERNET SERVICES,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AKAM
AKAN,Akanda Corp.,Medicinals & botanicals,Medical,MED PRODUCTS,MED PRODS,N,CANADA,https://finviz.com/quote.ashx?t=AKAN
AKBA,Akebia Therapeutics,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AKBA
AKBTY,Akbank Turk Anonim Sirketi,National commercial banks,Finance,BANKS-FOREIGN,BANKS-MAJOR,N,TURKEY,https://finviz.com/quote.ashx?t=AKBTY
AKR,Acadia Realty Trust,Real estate investment trusts,Finance,REIT-EQTY TRUST - RETAIL,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AKR
AKRO,Akero Therapeutics,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AKRO
AKTSQ,Akoustis Technologies,Telephone & telegraph apparatus,Computer and Technology,Semi-Radio Freq,TELECOMM EQUIP,N,UNITED STATES,https://finviz.com/quote.ashx?t=AKTSQ
AKTX,Akari Therapeutics,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED KINGDOM,https://finviz.com/quote.ashx?t=AKTX
AKZOY,AkzoNobel,Paints & allied products,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,N,NETHERLANDS,https://finviz.com/quote.ashx?t=AKZOY
AL,Air Lease,"Equipment rental & leasing, not elsewhere classified",Transportation,TRANS-EQP&LSNG,TRANSPORTATION,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AL
ALAB,"Astera Labs, Inc.",Semiconductors & related devices,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALAB
ALAR,ALARUM TEC LTD,Prepackaged software,Business Services,Technology Services,BUSINESS SERVICES,N,ISRAEL,https://finviz.com/quote.ashx?t=ALAR
ALB,Albemarle,Plastics materials & resins,Basic Materials,CHEM-DIVERSIFD,CHEMICALS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALB
ALBKY,Alpha Services and Holdings SA - Sponsored ADR,,Finance,BANKS-FOREIGN,BANKS-MAJOR,N,,https://finviz.com/quote.ashx?t=ALBKY
ALBT,Avalon GloboCare,Custom computer programming services,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALBT
ALBY,Community Capital Bancshares,National commercial banks,Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALBY
ALC,Alcon,Ophthalmic goods,Medical,MED INSTRUMENTS,MED PRODS,Y,SWITZERLAND,https://finviz.com/quote.ashx?t=ALC
ALCE,"Alternus Clean Energy, Inc.",Electric & other services combined,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALCE
ALCO,Alico,Agricultural production - crops,Consumer Staples,AGRI OPERATIONS,FOOD,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALCO
ALCY,Alchemy Investments Acquisition Corp 1,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALCY
ALDX,Aldeyra Therapeutics,Pharmaceutical preparations,Medical,MED-DRUGS,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALDX
ALE,Allete,Electric & other services combined,Utilities,UTIL-ELEC PWR,UTIL-ELEC PWR,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALE
ALEC,Alector,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALEC
ALEX,Alexander & Baldwin Holdings,Real estate investment trusts,Finance,REIT-EQTY TRUST -OTHER,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALEX
ALF,Centurion Acquisition Corp.,Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALF
ALFIQ,Alfi,"Computer programming, data processing, & other computer related",Computer and Technology,IT Services,COMPUTER SOFT/SERV,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALFIQ
ALFVY,Alfa Laval,"Special industry machinery, not elsewhere classified",Construction,ENGINRG/R&D SVS,CONSTRUCT/BLDG SERV,N,SWEDEN,https://finviz.com/quote.ashx?t=ALFVY
ALGM,Allegro MicroSystems,Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALGM
ALGN,Align Technology,Surgical appliances & supplies,Medical,MED/DENTAL-SUPP,MED PRODS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALGN
ALGT,Allegiant,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALGT
ALHC,Alignment Healthcare,Hospital & medical service plans,Medical,Medical Services,MEDICAL CARE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALHC
ALIF,Artificial Life,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,HONG KONG,https://finviz.com/quote.ashx?t=ALIF
ALIT,Alight,"Business services, not elsewhere classified",Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALIT
ALIZY,Allianz,"Insurance agents, brokers, & service",Finance,INS-MULTI LINE,INSURANCE,N,GERMANY,https://finviz.com/quote.ashx?t=ALIZY
ALK,Alaska Air Group,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALK
ALKS,Alkermes,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,IRELAND,https://finviz.com/quote.ashx?t=ALKS
ALKT,Alkami Technology,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALKT
ALL,Allstate,"Fire, marine, & casualty insurance",Finance,INS-PROP&CASLTY,INSURANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALL
ALLE,Allegion,Detective & armored car services,Industrial Products,PROTECTION-SFTY,IND PRODS/SVC,Y,IRELAND,https://finviz.com/quote.ashx?t=ALLE
ALLIF,Atlantic Lithium Limited,,Basic Materials,MINING -MISC,METALS-NON FERR,N,CANADA,https://finviz.com/quote.ashx?t=ALLIF
ALLO,Allogene Therapeutics,"Biological products, except diagnostic",Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALLO
ALLR,"Allarity Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=ALLR
ALLT,Allot,Computer & office equipment,Business Services,Technology Services,BUSINESS SERVICES,Y,ISRAEL,https://finviz.com/quote.ashx?t=ALLT
ALLY,Ally Financial,State commercial banks,Finance,FIN-CONS LOANS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALLY
ALM,Almonty Industries Inc.,Metal mining,Basic Materials,MINING -MISC,METALS-NON FERR,N,CANADA,https://finviz.com/quote.ashx?t=ALM
ALME,ALAMO ENERGY CP,,,,,,,https://finviz.com/quote.ashx?t=ALME
ALMMF,ALUMINUM CP CHN,,,,,,,https://finviz.com/quote.ashx?t=ALMMF
ALMS,Alumis Inc.,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALMS
ALMU,"Aeluma, Inc.",Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALMU
ALNPY,ANA,Private households,Transportation,TRANS-AIRLINE,TRANSPORT-AIR,N,JAPAN,https://finviz.com/quote.ashx?t=ALNPY
ALNT,ALLIENT INC,Instruments to measure electricity,Computer and Technology,ELEC-MISC COMPONENTS,ELECTRONICS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALNT
ALNY,Alnylam Pharmaceuticals,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ALNY
